,,,Authorization,,,,,,,,,Keychain,,Keys,,,
Category,Function,Feature,User,Team Admin,Workspace Admin,Org Billing Manager,Org Admin,Provider Admin,,Curator,MeshMap,Keychain ID,SQL,Key ID,SQL,Inserted,Local Provider
Catalog ,Share Design,"Share design with anyone within your organization, and make your design easily accessible to all relevant team members.",X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Share Design', NOW(), uuid_nil())",d9ae2b08-762f-418f-916f-43de736b53e2,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('d9ae2b08-762f-418f-916f-43de736b53e2','Catalog Management','Catalog Management','Catalog ','Share Design','Share design with anyone within your organization, and make your design easily accessible to all relevant team members.', NOW(), uuid_nil())",X,TRUE
Catalog,Clone Design,Clone any published design to customise it according to your use cases,X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Clone Design', NOW(), uuid_nil())",94a12f80-3c45-4a1f-afb2-a68b909d0d7f,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('94a12f80-3c45-4a1f-afb2-a68b909d0d7f','Catalog Management','Catalog Management','Catalog','Clone Design','Clone any published design to customise it according to your use cases', NOW(), uuid_nil())",X,TRUE
Designs ,View Designs,View all public and published designs of other team members and private of signed-in user,X,X,X,,X,X,,,,Install extension,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Install extension','View Designs', NOW(), uuid_nil())",3798736d-1f5d-41b3-876f-f3f01453dd15,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('3798736d-1f5d-41b3-876f-f3f01453dd15','Install extension','Catalog Management','Designs ','View Designs','View all public and published designs of other team members and private of signed-in user', NOW(), uuid_nil())",X,TRUE
Filters,View Filters,View all public and published filters of other team members and private of signed-in user,X,X,X,,X,X,,,,Install extension,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Install extension','View Filters', NOW(), uuid_nil())",df41c45f-7c73-49c2-a055-0584fdcec1c1,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('df41c45f-7c73-49c2-a055-0584fdcec1c1','Install extension','Catalog Management','Filters','View Filters','View all public and published filters of other team members and private of signed-in user', NOW(), uuid_nil())",X,TRUE
Catalog Requests,View Catalog Requests,View the catalog publication request queue,,,X,,X,X,,,,Chargeback,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Chargeback','View Catalog Requests', NOW(), uuid_nil())",30b68d69-d199-48fd-b4ff-54b5282c5c03,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('30b68d69-d199-48fd-b4ff-54b5282c5c03','Chargeback','Catalog Management','Catalog Requests','View Catalog Requests','View the catalog publication request queue', NOW(), uuid_nil())",X,FALSE
Catalog Requests,Approve Catalog Request,Approve catalog publication requests,,,X,,X,X,,,,Chargeback,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Chargeback','Approve Catalog Request', NOW(), uuid_nil())",66fbc8c0-b08a-494b-8c60-68ee1b607176,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('66fbc8c0-b08a-494b-8c60-68ee1b607176','Chargeback','Catalog Management','Catalog Requests','Approve Catalog Request','Approve catalog publication requests', NOW(), uuid_nil())",X,FALSE
Catalog Requests,Deny Catalog Request,Deny catalog publication requests,,,X,,X,X,,,,Chargeback,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Chargeback','Deny Catalog Request', NOW(), uuid_nil())",b9137717-a20a-44e8-a2f9-94dc3d1a6dcb,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('b9137717-a20a-44e8-a2f9-94dc3d1a6dcb','Chargeback','Catalog Management','Catalog Requests','Deny Catalog Request','Deny catalog publication requests', NOW(), uuid_nil())",X,FALSE
Designs,Create new design,Create new Meshery design,X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Create new design', NOW(), uuid_nil())",14bd933e-83b7-464d-9a4d-d8c8eb9682ab,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('14bd933e-83b7-464d-9a4d-d8c8eb9682ab','Catalog Management','Catalog Management','Designs','Create new design','Create new Meshery design', NOW(), uuid_nil())",X,TRUE
Designs,Import Design,Import a design,X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Import Design', NOW(), uuid_nil())",cc040d21-3160-4a96-8efa-833487a234cd,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('cc040d21-3160-4a96-8efa-833487a234cd','Catalog Management','Catalog Management','Designs','Import Design','Import a design', NOW(), uuid_nil())",X,TRUE
Designs,Publish Design,Publish a design,X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Publish Design', NOW(), uuid_nil())",9e66bdec-4177-42f9-8cec-d9eb52a12c38,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('9e66bdec-4177-42f9-8cec-d9eb52a12c38','Catalog Management','Catalog Management','Designs','Publish Design','Publish a design', NOW(), uuid_nil())",X,FALSE
Designs,Unpublish Design,Unpublish a design,X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Unpublish Design', NOW(), uuid_nil())",c1595c90-b85b-4ac7-b921-f08959926db3,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('c1595c90-b85b-4ac7-b921-f08959926db3','Catalog Management','Catalog Management','Designs','Unpublish Design','Unpublish a design', NOW(), uuid_nil())",X,FALSE
Designs,Validate Design,Validate a design,X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Validate Design', NOW(), uuid_nil())",da5339dd-a4bc-4b91-8865-d8a703656516,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('da5339dd-a4bc-4b91-8865-d8a703656516','Catalog Management','Catalog Management','Designs','Validate Design','Validate a design', NOW(), uuid_nil())",X,TRUE
Designs,Deploy Design,Deploy a design,,,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Deploy Design', NOW(), uuid_nil())",595b921a-ea1e-4611-83f0-503db0eeb94d,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('595b921a-ea1e-4611-83f0-503db0eeb94d','Catalog Management','Catalog Management','Designs','Deploy Design','Deploy a design', NOW(), uuid_nil())",X,TRUE
Designs,Undeploy Design,Retract all resources used in a Meshery design from the cluster,,,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Undeploy Design', NOW(), uuid_nil())",16b11ffa-7b92-4666-a0ff-191df9cd18b2,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('16b11ffa-7b92-4666-a0ff-191df9cd18b2','Catalog Management','Catalog Management','Designs','Undeploy Design','Retract all resources used in a Meshery design from the cluster', NOW(), uuid_nil())",X,TRUE
Designs,Details of design,Set design information or details of a design,X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Details of design', NOW(), uuid_nil())",10a03036-53a0-40b3-9f69-6daab852e434,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('10a03036-53a0-40b3-9f69-6daab852e434','Catalog Management','Catalog Management','Designs','Details of design','Set design information or details of a design', NOW(), uuid_nil())",X,TRUE
Designs,Edit design,Edit a design,X*,X*,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Edit design', NOW(), uuid_nil())",7f2b7084-4533-4824-b688-50cf35de7ef8,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('7f2b7084-4533-4824-b688-50cf35de7ef8','Catalog Management','Catalog Management','Designs','Edit design','Edit a design', NOW(), uuid_nil())",X,TRUE
Designs,Delete a design,Delete a design,X*,X*,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Delete a design', NOW(), uuid_nil())",f024fcf7-3c3d-4521-b83e-6d659353ca0e,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('f024fcf7-3c3d-4521-b83e-6d659353ca0e','Catalog Management','Catalog Management','Designs','Delete a design','Delete a design', NOW(), uuid_nil())",X,TRUE
Designs,Download a design,Download a Meshery design in OCI or YAML format,X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Download a design', NOW(), uuid_nil())",64de96b7-60db-4aab-b311-afc64066b2c4,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('64de96b7-60db-4aab-b311-afc64066b2c4','Catalog Management','Catalog Management','Designs','Download a design','Download a Meshery design in OCI or YAML format', NOW(), uuid_nil())",X,TRUE
Filters,Import Filter,Import a filter,X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Import Filter', NOW(), uuid_nil())",cb79d7fb-19de-45fa-aaf5-0a0afc832bf8,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('cb79d7fb-19de-45fa-aaf5-0a0afc832bf8','Catalog Management','Catalog Management','Filters','Import Filter','Import a filter', NOW(), uuid_nil())",X,TRUE
Filters,Download a WASM filter,Download a WASM filter,X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Download a WASM filter', NOW(), uuid_nil())",24325b2c-5e08-4ba8-809f-8a4a1bf91084,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('24325b2c-5e08-4ba8-809f-8a4a1bf91084','Catalog Management','Catalog Management','Filters','Download a WASM filter','Download a WASM filter', NOW(), uuid_nil())",X,TRUE
Filters,Details of WASM Filter,Check information or details of a WASM filter,X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Details of WASM Filter', NOW(), uuid_nil())",86c457b5-b9ec-4223-af1f-30a5be67d69d,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('86c457b5-b9ec-4223-af1f-30a5be67d69d','Catalog Management','Catalog Management','Filters','Details of WASM Filter','Check information or details of a WASM filter', NOW(), uuid_nil())",X,TRUE
Filters,Edit WASM filter,Edit WASM filter,X*,X*,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Edit WASM filter', NOW(), uuid_nil())",88cd144e-806e-472a-a31a-ef6d64643291,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('88cd144e-806e-472a-a31a-ef6d64643291','Catalog Management','Catalog Management','Filters','Edit WASM filter','Edit WASM filter', NOW(), uuid_nil())",X,TRUE
Filters,Clone WASM Filter,"Clone WASM filter from catalog, which allows customizing filter and use it in design",X,X,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Clone WASM Filter', NOW(), uuid_nil())",c84718ca-7479-4ad9-a2b7-a5784baa51fb,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('c84718ca-7479-4ad9-a2b7-a5784baa51fb','Catalog Management','Catalog Management','Filters','Clone WASM Filter','Clone WASM filter from catalog, which allows customizing filter and use it in design', NOW(), uuid_nil())",X,TRUE
Filters,Delete WASM Filter,Delete WASM filter permanently from catalog.,X*,X*,X,,X,X,,,,Catalog Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Catalog Management','Delete WASM Filter', NOW(), uuid_nil())",9225d5a7-7255-49be-9233-daeabefae306,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('9225d5a7-7255-49be-9233-daeabefae306','Catalog Management','Catalog Management','Filters','Delete WASM Filter','Delete WASM filter permanently from catalog.', NOW(), uuid_nil())",X,TRUE
Extensions,Install extension,Install or enable or disabble extensions in Meshery,,,,,X,X,,,,Extension Point Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Extension Point Management','Install extension', NOW(), uuid_nil())",24f41e98-7ce1-40c4-a82d-4ae0294d237d,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('24f41e98-7ce1-40c4-a82d-4ae0294d237d','Extension Point Management','Extensibility','Extensions','Install extension','Install or enable or disabble extensions in Meshery', NOW(), uuid_nil())",X,TRUE
Extensions,View Meshery User Preferences,View all user preferences in Meshery UI ,X,X,X,,X,X,,,,Extension Point Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Extension Point Management','View Meshery User Preferences', NOW(), uuid_nil())",cdec6212-bbbf-4cab-b10d-76d12bee7e56,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('cdec6212-bbbf-4cab-b10d-76d12bee7e56','Extension Point Management','Extensibility','Extensions','View Meshery User Preferences','View all user preferences in Meshery UI ', NOW(), uuid_nil())",X,TRUE
Extensions,View Extensions,View all extensions on the extension page,X,X,X,,X,X,,,,Extension Point Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Extension Point Management','View Extensions', NOW(), uuid_nil())",c1330df4-1bbe-4d5d-8828-f4bd9ee989e5,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('c1330df4-1bbe-4d5d-8828-f4bd9ee989e5','Extension Point Management','Extensibility','Extensions','View Extensions','View all extensions on the extension page', NOW(), uuid_nil())",X,TRUE
Users,View All Kubernetes Clusters,View all configured Kubernetes clusters,X,X,X,,X,X,,,,Lifecycle management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Lifecycle management','View All Kubernetes Clusters', NOW(), uuid_nil())",b99a9a0a-2cb9-4be7-8251-14a249e4038e,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('b99a9a0a-2cb9-4be7-8251-14a249e4038e','Lifecycle management','Identity & Access Management','Users','View All Kubernetes Clusters','View all configured Kubernetes clusters', NOW(), uuid_nil())",X,TRUE
Teams,View Team,See only teams to which you are a member. See all other members within those teams.,X,X,X,,X,X,,,,Team Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Team Management','View Team', NOW(), uuid_nil())",27447fb0-be46-4497-8366-c34e24920f22,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('27447fb0-be46-4497-8366-c34e24920f22','Team Management','Identity & Access Management','Teams','View Team','See only teams to which you are a member. See all other members within those teams.', NOW(), uuid_nil())",X,FALSE
Teams,View Teams,See all teams of which you are an administrator. See all members of those teams.,,X,X,,X,X,,,,Team Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Team Management','View Teams', NOW(), uuid_nil())",6ecbbe79-c392-43bd-b7b6-ecdec019e24c,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('6ecbbe79-c392-43bd-b7b6-ecdec019e24c','Team Management','Identity & Access Management','Teams','View Teams','See all teams of which you are an administrator. See all members of those teams.', NOW(), uuid_nil())",X,FALSE
Teams,View All Teams,See all teams within an organization. See all members of all teams.,X,X,X,,X,X,,,,Organization Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Organization Management','View All Teams', NOW(), uuid_nil())",8b94dd6b-234f-4c89-86cf-b029e0090255,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('8b94dd6b-234f-4c89-86cf-b029e0090255','Organization Management','Identity & Access Management','Teams','View All Teams','See all teams within an organization. See all members of all teams.', NOW(), uuid_nil())",X,FALSE
Teams,Add User to Team,Directly create a new user account within a team.,,X,X,,X,X,,,,Team Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Team Management','Add User to Team', NOW(), uuid_nil())",88b9a857-d012-4c6d-a129-4ce65b63b018,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('88b9a857-d012-4c6d-a129-4ce65b63b018','Team Management','Identity & Access Management','Teams','Add User to Team','Directly create a new user account within a team.', NOW(), uuid_nil())",X,FALSE
Teams,Invite User to Team,Send a request for a user to join a team.,,X,X,,X,X,,,,Team Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Team Management','Invite User to Team', NOW(), uuid_nil())",f224ecf3-b105-4d81-9886-77127073a6ca,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('f224ecf3-b105-4d81-9886-77127073a6ca','Team Management','Identity & Access Management','Teams','Invite User to Team','Send a request for a user to join a team.', NOW(), uuid_nil())",X,FALSE
Teams,Remove User from Team,Discontinue user membership of a team and team resources.,,X,X,,X,X,,,,Team Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Team Management','Remove User from Team', NOW(), uuid_nil())",e996c998-a50f-4cb8-ae7b-77127073a6ca,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('e996c998-a50f-4cb8-ae7b-77127073a6ca','Team Management','Identity & Access Management','Teams','Remove User from Team','Discontinue user membership of a team and team resources.', NOW(), uuid_nil())",X,FALSE
Teams,Create Team,Establish new team for organizing groups of users and resource access.,,X,X,,X,X,,,,Team Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Team Management','Create Team', NOW(), uuid_nil())",41a9eb36-b99b-4715-8140-780f97d3c6a0,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('41a9eb36-b99b-4715-8140-780f97d3c6a0','Team Management','Identity & Access Management','Teams','Create Team','Establish new team for organizing groups of users and resource access.', NOW(), uuid_nil())",X,FALSE
Teams,Delete Team,Dissolve a team and all user memberships. Leave associated resources intact.,,X,X,,X,X,,,,Team Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Team Management','Delete Team', NOW(), uuid_nil())",bbb691b6-8664-44c7-8ea7-9c46b1ca1e8b,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('bbb691b6-8664-44c7-8ea7-9c46b1ca1e8b','Team Management','Identity & Access Management','Teams','Delete Team','Dissolve a team and all user memberships. Leave associated resources intact.', NOW(), uuid_nil())",X,FALSE
Teams,Edit Team,Edit a team and add new members to it. ,,X,X,,X,X,,,,Team Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Team Management','Edit Team', NOW(), uuid_nil())",6cf69881-0be0-4723-b5f0-031b7847509a,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('6cf69881-0be0-4723-b5f0-031b7847509a','Team Management','Identity & Access Management','Teams','Edit Team','Edit a team and add new members to it. ', NOW(), uuid_nil())",X,FALSE
Teams,Remove Roles from Team members,Remove roles from users in a team,,X,X,,X,X,,,,Team Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Team Management','Remove Roles from Team members', NOW(), uuid_nil())",ed3dbd2d-52f8-4608-87e0-7f2999a4518c,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('ed3dbd2d-52f8-4608-87e0-7f2999a4518c','Team Management','Identity & Access Management','Teams','Remove Roles from Team members','Remove roles from users in a team', NOW(), uuid_nil())",X,FALSE
Teams,Assign Roles to Team members,Assign roles to users in a team,,X,X,,X,X,,,,Team Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Team Management','Assign Roles to Team members', NOW(), uuid_nil())",06f33eca-950c-4daa-b46d-e73af39e0868,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('06f33eca-950c-4daa-b46d-e73af39e0868','Team Management','Identity & Access Management','Teams','Assign Roles to Team members','Assign roles to users in a team', NOW(), uuid_nil())",X,FALSE
Teams,Open Team Invite,"This governs the team's invitation permissions, determining whether the team is allowed to extend invitations to new individuals to join through open invite link.",,X,X,,X,X,,,,Organization Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Organization Management','Open Team Invite', NOW(), uuid_nil())",6086c0a5-cd79-48ca-8c9f-a0e0ad75343c,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('6086c0a5-cd79-48ca-8c9f-a0e0ad75343c','Organization Management','Identity & Access Management','Teams','Open Team Invite','This governs the team's invitation permissions, determining whether the team is allowed to extend invitations to new individuals to join through open invite link.', NOW(), uuid_nil())",X,FALSE
Organizations,Create Organization,"Establish new organization for organizing teams, users, and resource access.",,,,,X,X,,,,Organization Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Organization Management','Create Organization', NOW(), uuid_nil())",17a6fa82-cdab-46db-a7ce-a9d0a1bbf40f,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('17a6fa82-cdab-46db-a7ce-a9d0a1bbf40f','Organization Management','Identity & Access Management','Organizations','Create Organization','Establish new organization for organizing teams, users, and resource access.', NOW(), uuid_nil())",X,FALSE
Organizations,Edit Organization,Edit organiaztions and add teams to it,,,,,X,X,,,,Organization Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Organization Management','Edit Organization', NOW(), uuid_nil())",d39a34fb-0ccf-4c80-8a6c-b545c8db869a,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('d39a34fb-0ccf-4c80-8a6c-b545c8db869a','Organization Management','Identity & Access Management','Organizations','Edit Organization','Edit organiaztions and add teams to it', NOW(), uuid_nil())",X,FALSE
Organizations,Add User to Organization,Directly create a new user account within an organization.,,,,X,X,X,,,,Organization Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Organization Management','Add User to Organization', NOW(), uuid_nil())",33bf7a57-f787-4208-b01c-ad9b9d9c6b6c,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('33bf7a57-f787-4208-b01c-ad9b9d9c6b6c','Organization Management','Identity & Access Management','Organizations','Add User to Organization','Directly create a new user account within an organization.', NOW(), uuid_nil())",X,FALSE
Organizations,Invite User to Organization,Send a request for a user to join an organization.,,,,X,X,X,,,,Organization Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Organization Management','Invite User to Organization', NOW(), uuid_nil())",c8489026-11ab-4753-a445-8e20fc032c38,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('c8489026-11ab-4753-a445-8e20fc032c38','Organization Management','Identity & Access Management','Organizations','Invite User to Organization','Send a request for a user to join an organization.', NOW(), uuid_nil())",X,FALSE
Organizations,Remove User from Organization,"Discontinue user access to organization, teams and resources; cease billing accrual.",,,,X,X,X,,,,Organization Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Organization Management','Remove User from Organization', NOW(), uuid_nil())",3ed858e4-418d-4220-9d4c-a217fd466d86,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('3ed858e4-418d-4220-9d4c-a217fd466d86','Organization Management','Identity & Access Management','Organizations','Remove User from Organization','Discontinue user access to organization, teams and resources; cease billing accrual.', NOW(), uuid_nil())",X,FALSE
Organizations,Promote or Demote User to Org Admin,Elevate or remove organization level administrative privileges.,,,,X,X,X,,,,Organization Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Organization Management','Promote or Demote User to Org Admin', NOW(), uuid_nil())",0ddd82df-27ed-4781-a91a-ec1dbeb620d0,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('0ddd82df-27ed-4781-a91a-ec1dbeb620d0','Organization Management','Identity & Access Management','Organizations','Promote or Demote User to Org Admin','Elevate or remove organization level administrative privileges.', NOW(), uuid_nil())",X,FALSE
Organizations,View Org,See only organizations to which you are a member. See all other members within your membership teams.,X,X,X,X,X,X,,,,Organization Management,"INSERT INTO keychains (id, name, created_at, owner) VALUES ('Organization Management','View Org', NOW(), uuid_nil())",49f02947-0c8d-4b2d-af53-f50ce18f8861,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('49f02947-0c8d-4b2d-af53-f50ce18f8861','Organization Management','Identity & Access Management','Organizations','View Org','See only organizations to which you are a member. See all other members within your membership teams.', NOW(), uuid_nil())",X,FALSE
