"NOTE: When adding new keys and keychains, make sure the same queries present in migration is added to [install/content/permissions_keys_keyschains.sql) file.",,,,,Entitlement,,,,,,,Authorization,,,,,,,,Keychains,,Keys,,,
Theme,Category,Function,Feature,Primary Persona,Source,Subscription Tier,Tech,Version,Engineer,Pricing page,,User,Team Admin,Org Billing Manager,Org Admin,Provider Admin,,Curator,MeshMap,Keychain ID,SQL,Key ID,SQL,Inserted,Local Provider
Catalog Management,Catalog,Share Design,"Share design with anyone within your organization, and make your design easily accessible to all relevant team members.",User,,Free,Meshery,v0.7.0,Yash,,,X,,,X,X,,,,Catalog Management,,d9ae2b08-762f-418f-916f-43de736b53e2,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('d9ae2b08-762f-418f-916f-43de736b53e2','Catalog Management','Catalog Management','Catalog ','Share Design','Share design with anyone within your organization, and make your design easily accessible to all relevant team members.', NOW(), uuid_nil())",X,TRUE
Catalog Management,Catalog,Clone Design,Clone any published design to customise it according to your use cases,User,,Free,Meshery,v0.7.0,Yash,,,X,,,X,X,,,,Catalog Management,,94a12f80-3c45-4a1f-afb2-a68b909d0d7f,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('94a12f80-3c45-4a1f-afb2-a68b909d0d7f','Catalog Management','Catalog Management','Catalog','Clone Design','Clone any published design to customise it according to your use cases', NOW(), uuid_nil())",X,TRUE
Catalog Management,Designs,View Designs,,,,,,,,,,,,,,X,,,,Install extension,,3798736d-1f5d-41b3-876f-f3f01453dd15,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('3798736d-1f5d-41b3-876f-f3f01453dd15','Install extension','Catalog Management','Designs ','View Designs','', NOW(), uuid_nil())",X,TRUE
Catalog Management,Filter,View Filters,,,,,,,,,,,,,,X,,,,Install extension,,df41c45f-7c73-49c2-a055-0584fdcec1c1,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('df41c45f-7c73-49c2-a055-0584fdcec1c1','Install extension','Catalog Management','Filter','View Filters','', NOW(), uuid_nil())",X,TRUE
Catalog Management,Designs,Create new design,Create new Meshery design,Operator,Open,Free,Meshery,v0.7.0,,,,X,X,,X,X,,,,Catalog Management,,14bd933e-83b7-464d-9a4d-d8c8eb9682ab,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('14bd933e-83b7-464d-9a4d-d8c8eb9682ab','Catalog Management','Catalog Management','Designs','Create new design','Create new Meshery design', NOW(), uuid_nil())",X,TRUE
Catalog Management,Designs,Import Design,Import a design,All,Open,Free,Meshery,v0.7.0,,,,X,X,,X,X,,,,Catalog Management,,cc040d21-3160-4a96-8efa-833487a234cd,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('cc040d21-3160-4a96-8efa-833487a234cd','Catalog Management','Catalog Management','Designs','Import Design','Import a design', NOW(), uuid_nil())",X,TRUE
Catalog Management,Designs,Validate Design,Validate a design,Operator,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Catalog Management,,da5339dd-a4bc-4b91-8865-d8a703656516,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('da5339dd-a4bc-4b91-8865-d8a703656516','Catalog Management','Catalog Management','Designs','Validate Design','Validate a design', NOW(), uuid_nil())",X,TRUE
Catalog Management,Designs,Deploy Design,Deploy a design,Operator,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Catalog Management,,595b921a-ea1e-4611-83f0-503db0eeb94d,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('595b921a-ea1e-4611-83f0-503db0eeb94d','Catalog Management','Catalog Management','Designs','Deploy Design','Deploy a design', NOW(), uuid_nil())",X,TRUE
Catalog Management,Designs,Undeploy Design,Retract all resources used in a Meshery design from the cluster,Operator,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Catalog Management,,16b11ffa-7b92-4666-a0ff-191df9cd18b2,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('16b11ffa-7b92-4666-a0ff-191df9cd18b2','Catalog Management','Catalog Management','Designs','Undeploy Design','Retract all resources used in a Meshery design from the cluster', NOW(), uuid_nil())",X,TRUE
Catalog Management,Designs,Details of design,Set design information or details of a design,ALL,Open,Free,Meshery,v0.7.0,,,,X,,,X,X,,,,Catalog Management,,10a03036-53a0-40b3-9f69-6daab852e434,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('10a03036-53a0-40b3-9f69-6daab852e434 ','Catalog Management','Catalog Management','Designs','Details of design','Set design information or details of a design', NOW(), uuid_nil())",X,TRUE
Catalog Management,Designs,Edit design,Edit a design,Operator,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Catalog Management,,7f2b7084-4533-4824-b688-50cf35de7ef8,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('7f2b7084-4533-4824-b688-50cf35de7ef8','Catalog Management','Catalog Management','Designs','Edit design','Edit a design', NOW(), uuid_nil())",X,TRUE
Catalog Management,Designs,Delete a design,Delete a design,Operator,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Catalog Management,,f024fcf7-3c3d-4521-b83e-6d659353ca0e,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('f024fcf7-3c3d-4521-b83e-6d659353ca0e','Catalog Management','Catalog Management','Designs','Delete a design','Delete a design', NOW(), uuid_nil())",X,TRUE
Catalog Management,Designs,Download a design,,Operator,Open,Free,Meshery,v0.7.0,,,,X,,,X,X,,,,Catalog Management,,64de96b7-60db-4aab-b311-afc64066b2c4,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('64de96b7-60db-4aab-b311-afc64066b2c4','Catalog Management','Catalog Management','Designs','Download a design','', NOW(), uuid_nil())",X,TRUE
Catalog Management,Filters,Import Filter,Import a filter,Operator,Open,Free,Meshery,v0.7.0,,,,X,,,X,X,,,,Catalog Management,,cb79d7fb-19de-45fa-aaf5-0a0afc832bf8,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('cb79d7fb-19de-45fa-aaf5-0a0afc832bf8','Catalog Management','Catalog Management','Filters','Import Filter','Import a filter', NOW(), uuid_nil())",X,TRUE
Catalog Management,Filters,Download a WASM filter,Download a WASM filter,Operator,Open,Free,Meshery,v0.7.0,,,,X,,,X,X,,,,Catalog Management,,24325b2c-5e08-4ba8-809f-8a4a1bf91084,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('24325b2c-5e08-4ba8-809f-8a4a1bf91084','Catalog Management','Catalog Management','Filters','Download a WASM filter','Download a WASM filter', NOW(), uuid_nil())",X,TRUE
Catalog Management,Filters,Details of WASM Filter,Check information or details of a WASM filter,ALL,Open,Free,Meshery,v0.7.0,,,,X,,,X,X,,,,Catalog Management,,86c457b5-b9ec-4223-af1f-30a5be67d69d,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('86c457b5-b9ec-4223-af1f-30a5be67d69d','Catalog Management','Catalog Management','Filters','Details of WASM Filter','Check information or details of a WASM filter', NOW(), uuid_nil())",X,TRUE
Catalog Management,Filters,Edit WASM filter,Edit WASM filter,Operator,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Catalog Management,,88cd144e-806e-472a-a31a-ef6d64643291,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('88cd144e-806e-472a-a31a-ef6d64643291','Catalog Management','Catalog Management','Filters','Edit WASM filter','Edit WASM filter', NOW(), uuid_nil())",X,TRUE
Catalog Management,Filters,Clone WASM Filter,"Clone WASM filter from catalog, which allows customizing filter and use it in design",All,,Free,Meshery,v0.7.0,,,,X,,,X,X,,,,Catalog Management,,c84718ca-7479-4ad9-a2b7-a5784baa51fb,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('c84718ca-7479-4ad9-a2b7-a5784baa51fb','Catalog Management','Catalog Management','Filters','Clone WASM Filter','Clone WASM filter from catalog, which allows customizing filter and use it in design', NOW(), uuid_nil())",X,TRUE
Catalog Management,Filters,Delete WASM Filter,Delete WASM filter permanently from catalog.,Operator,,Free,Meshery,v0.7.0,,,,X,,,X,X,,,,Catalog Management,,9225d5a7-7255-49be-9233-daeabefae306,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('9225d5a7-7255-49be-9233-daeabefae306','Catalog Management','Catalog Management','Filters','Delete WASM Filter','Delete WASM filter permanently from catalog.', NOW(), uuid_nil())",X,TRUE
Extensibility,Extensions,Install extension,Install or enable or disabble extensions in Meshery,Integrator,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Extension Point Management,,24f41e98-7ce1-40c4-a82d-4ae0294d237d,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('24f41e98-7ce1-40c4-a82d-4ae0294d237d','Extension Point Management','Extensibility','Extensions','Install extension','Install or enable or disabble extensions in Meshery', NOW(), uuid_nil())",X,TRUE
Extensibility,Extensions,View Meshery User Preferences,View all user preferences in Meshery UI,Integrator,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Extension Point Management,,cdec6212-bbbf-4cab-b10d-76d12bee7e56,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('cdec6212-bbbf-4cab-b10d-76d12bee7e56','Extension Point Management','Extensibility','Extensions','View Meshery User Preferences','View all user preferences in Meshery UI ', NOW(), uuid_nil())",X,TRUE
Extensibility,Extensions,View Extensions,View all extensions on the extension page,ALL,Open,Free,Meshery,v0.7.0,,,,X,,,X,X,,,,Extension Point Management,,c1330df4-1bbe-4d5d-8828-f4bd9ee989e5,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('c1330df4-1bbe-4d5d-8828-f4bd9ee989e5','Extension Point Management','Extensibility','Extensions','View Extensions','View all extensions on the extension page', NOW(), uuid_nil())",X,TRUE
Identity & Access Management,Users,View All Kubernetes Clusters,View all configured Kubernetes clusters,,,,Meshery,,,,,X,,,X,X,,,,Lifecycle management,,b99a9a0a-2cb9-4be7-8251-14a249e4038e,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner)
VALUES ('b99a9a0a-2cb9-4be7-8251-14a249e4038e','Lifecycle management','Identity & Access Management','Users','View All Kubernetes Clusters','View all configured Kubernetes clusters', NOW(), uuid_nil())",X,TRUE
Lifecycle Management,Connections,Add cluster,Add Kubernetes cluster,Platfrom Engineer,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Lifecycle Management,,fce15b20-78ac-42af-b79c-b8f19bdb0802,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('fce15b20-78ac-42af-b79c-b8f19bdb0802','Lifecycle Management','Lifecycle Management','Connections','Add cluster','Add Kubernetes cluster', NOW(), uuid_nil())",X,TRUE
Lifecycle Management,Connections,Change connection state,Change connection state,Platfrom Engineer,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Lifecycle Management,,14ac9622-3170-4580-8403-ed7a584f90ef,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('14ac9622-3170-4580-8403-ed7a584f90ef','Lifecycle Management','Lifecycle Management','Connections','Change connection state','Change connection state', NOW(), uuid_nil())",X,TRUE
Lifecycle Management,Connections,Flush Meshsync data,Clearing the database by clicking on the `Flush MeshSync`,Platfrom Engineer,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Lifecycle Management,,8dd4c54a-bccd-4fb3-a18c-269195653a91,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('8dd4c54a-bccd-4fb3-a18c-269195653a91','Lifecycle Management','Lifecycle Management','Connections','Flush Meshsync data','Clearing the database by clicking on the `Flush MeshSync`', NOW(), uuid_nil())",X,TRUE
Lifecycle Management,Connections,Register discovered Meshsync resource,Register discovered Meshsync resource to change state to connection,Platfrom Engineer,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Lifecycle Management,,214ad6b1-df4d-44a6-8872-8ad1f751ef68,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('214ad6b1-df4d-44a6-8872-8ad1f751ef68','Lifecycle Management','Lifecycle Management','Connections','Register discovered Meshsync resource','Register discovered Meshsync resource to change state to connection', NOW(), uuid_nil())",X,TRUE
Lifecycle Management,Connections,Delete a connection,Delete a connection,Platfrom Engineer,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Lifecycle Management,,61afb8c2-cda6-4175-aad9-74ff87fed323,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('61afb8c2-cda6-4175-aad9-74ff87fed323','Lifecycle Management','Lifecycle Management','Connections','Delete a connection','Delete a connection', NOW(), uuid_nil())",X,TRUE
Meshery System,Settings,View Settings,View settings in Meshery,ALL,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Settings Management,,fdc038e3-1fdf-403a-af8a-53c0de8d7820,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('fdc038e3-1fdf-403a-af8a-53c0de8d7820','Settings Management','Meshery System','Settings','View Settings','View settings in Meshery', NOW(), uuid_nil())",X,TRUE
Meshery System,Settings,Connect adapter,Configure and connect to Meshery adapters,ALL,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Settings Management,,c93bd211-1dac-42cc-9086-859288826d1b,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('c93bd211-1dac-42cc-9086-859288826d1b','Settings Management','Meshery System','Settings','Connect Adapter','Configure and connect to Meshery adapters', NOW(), uuid_nil())",X,TRUE
Meshery System,Settings,Connect Metrics,Configure and connect to metrics like Grafana and Promethues,Operator,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Settings Management,,b0aee906-c549-445f-be0c-b98b04d47d09,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('b0aee906-c549-445f-be0c-b98b04d47d09','Settings Management','Meshery System','Settings','Connect Metrics','Configure and connect to metrics like Grafana and Promethues', NOW(), uuid_nil())",X,TRUE
Meshery System,Settings,View Metrics,View already configured metrics,All,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Settings Management,,7fe36f60-fd0a-4fda-84e5-c64a04c3ad06,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('7fe36f60-fd0a-4fda-84e5-c64a04c3ad06','Settings Management','Meshery System','Settings','View Metrics','View already configured metrics', NOW(), uuid_nil())",X,TRUE
Meshery System,Settings,View Registry,Explore entities within capabilities registry,Platfrom Engineer,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Settings Management,,cc069117-08cc-44e3-9c61-ae0eeca0bcf1,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('cc069117-08cc-44e3-9c61-ae0eeca0bcf1','Settings Management','Meshery System','Settings','View Registry','Explore entities within capabilities registry ', NOW(), uuid_nil())",X,TRUE
Performance Management,Performance,Add performace profile,Add a new performace profile,Platfrom Engineer,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Performance Management,,b2861578-c573-45fe-a95e-0356d56e1d1b,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('b2861578-c573-45fe-a95e-0356d56e1d1b','Performance Management','Performance Management','Performance','Add performace profile','Add a new performace profile', NOW(), uuid_nil())",X,TRUE
Performance Management,Performance,Run test,Run a test on performance profile,Platfrom Engineer,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Performance Management,,06de2b07-b4f4-4701-b87f-d92ebb66ba42,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('06de2b07-b4f4-4701-b87f-d92ebb66ba42','Performance Management','Performance Management','Performance','Run test','Run a test on performance profile', NOW(), uuid_nil())",X,TRUE
Performance Management,Performance,View Results,View results of performance tests,ALL,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Performance Management,,0c757cc7-4038-4d9b-9b60-fa8d9fc9d27e,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('0c757cc7-4038-4d9b-9b60-fa8d9fc9d27e','Performance Management','Performance Management','Performance','View Results','View results of performance tests', NOW(), uuid_nil())",X,TRUE
Performance Management,Performance,Edit performance test,Edit performance test,ALL,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Performance Management,,33aa5c47-a8aa-4ad5-9950-7c17042c001d,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('33aa5c47-a8aa-4ad5-9950-7c17042c001d','Performance Management','Performance Management','Performance','Edit performance test','Edit performance test', NOW(), uuid_nil())",X,TRUE
Performance Management,Performance,Delete performance test,Delete performance test,ALL,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Performance Management,,84aa9d3c-3d4b-4587-947d-ae17b2dcd5f5,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('84aa9d3c-3d4b-4587-947d-ae17b2dcd5f5','Performance Management','Performance Management','Performance','Delete performance test','Delete performance test', NOW(), uuid_nil())",X,TRUE
Performance Management,Performance,View performance profiles,View all performance profiles,ALL,Open,Free,Meshery,v0.7.0,,,,,,,X,X,,,,Performance Management,,6593ac26-820b-4e87-be32-64ee740ea204,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('6593ac26-820b-4e87-be32-64ee740ea204','Performance Management','Performance Management','Performance','View performance profiles','View all performance profiles', NOW(), uuid_nil())",X,TRUE
Infrastructure Management,Service mesh lifecycle,Manage service mesh life cycle,Manage service mesh life cycle,Operator,Closed,Team,Meshery,v0.7.0,,,,X,,,X,X,,,,Infrastructure Management,,255fd148-e3fd-4408-a48c-0d157a57d4d9,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('255fd148-e3fd-4408-a48c-0d157a57d4d9','Infrastructure Management','Infrastructure Management','Service mesh lifecycle','Manage service mesh life cycle','Manage service mesh life cycle', NOW(), uuid_nil())",X,TRUE
Infrastructure Management,Service mesh lifecycle,Manage service mesh configuration,"Manage service mesh configuration for applications like EmojiVoto, HTTPBin, Image Hub, Istio Book Info",,,Team,Meshery,v0.7.0,,,,X,,,X,X,,,,Infrastructure Management,,0eb0558d-9b21-4e50-b4c6-bd8e9e3414f5,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('0eb0558d-9b21-4e50-b4c6-bd8e9e3414f5','Infrastructure Management','Infrastructure Management','Service mesh lifecycle','Manage service mesh configuration','Manage service mesh configuration for applications like EmojiVoto, HTTPBin, Image Hub, Istio Book Info', NOW(), uuid_nil())",X,TRUE
Infrastructure Management,Service mesh lifecycle,Apply service mesh configuration,"Configure service mesh with some predefined options like Automatic Sidecar injection, Envoy Filter, Policy",,,Team,Meshery,v0.7.0,,,,X,,,X,X,,,,Infrastructure Management,,3f20a106-24f5-4da6-a8eb-6eddaad50944,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('3f20a106-24f5-4da6-a8eb-6eddaad50944','Infrastructure Management','Infrastructure Management','Service mesh lifecycle','Apply service mesh configuration','Configure service mesh with some predefined options like Automatic Sidecar injection, Envoy Filter, Policy', NOW(), uuid_nil())",X,TRUE
Infrastructure Management,Service mesh lifecycle,Validate service mesh configuration,"Validate service mesh configuration against best practices like Analyze Running Configuration, SMI conformance",,,Team,Meshery,v0.7.0,,,,X,,,X,X,,,,Infrastructure Management,,8bb93f97-fcfb-4827-9fed-f931fdca7b95,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('8bb93f97-fcfb-4827-9fed-f931fdca7b95','Infrastructure Management','Infrastructure Management','Service mesh lifecycle','Validate service mesh configuration','Validate service mesh configuration against best practices like Analyze Running Configuration, SMI conformance', NOW(), uuid_nil())",X,TRUE
Infrastructure Management,Service mesh lifecycle,Apply custom service mesh configuration,Apply custom service mesh configuration,,,Team,Meshery,v0.7.0,,,,X,,,X,X,,,,Infrastructure Management,,2f4e2300-4c7e-4d48-95aa-74614a4826fe,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('2f4e2300-4c7e-4d48-95aa-74614a4826fe','Infrastructure Management','Infrastructure Management','Service mesh lifecycle','Apply custom service mesh configuration','Apply custom service mesh configuration', NOW(), uuid_nil())",X,TRUE
Infrastructure Management,Service mesh lifecycle,Deploy service mesh,Deploy service mesh,,,Team,Meshery,v0.7.0,,,,X,,,X,X,,,,Infrastructure Management,,f7e70ffb-333d-43b3-a76e-0e6c63b9fbfa,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('f7e70ffb-333d-43b3-a76e-0e6c63b9fbfa','Infrastructure Management','Infrastructure Management','Service mesh lifecycle','Deploy service mesh','Deploy service mesh', NOW(), uuid_nil())",X,TRUE
Infrastructure Management,Service mesh lifecycle,Undeploy service mesh,Undeploy service mesh,,,Team,Meshery,v0.7.0,,,,X,,,X,X,,,,Infrastructure Management,,6e7f6f4f-4321-4e42-9eff-6a8323f32e84,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('6e7f6f4f-4321-4e42-9eff-6a8323f32e84','Infrastructure Management','Infrastructure Management','Service mesh lifecycle','Undeploy service mesh','Undeploy service mesh', NOW(), uuid_nil())",X,TRUE
Infrastructure Management,Service mesh lifecycle,View service mesh,View all service meshes in Meshery UI,,,Team,Meshery,v0.7.0,,,,X,,,X,X,,,,Infrastructure Management,,fdc485dc-f68b-405c-9e54-7b9a7254c282,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('fdc485dc-f68b-405c-9e54-7b9a7254c282','Infrastructure Management','Infrastructure Management','Service mesh lifecycle','View service mesh','View all service meshes in Meshery UI', NOW(), uuid_nil())",X,TRUE
Workspace Management,Connections,View Connections,,,,,,,,,,X,,,X,X,,,,Lifecycle management,,b35c9ce0-e787-4de6-8560-631007b0b947,"INSERT INTO keys (id, keychain_id, category, subcategory, function, description, created_at, owner) VALUES ('b35c9ce0-e787-4de6-8560-631007b0b947','Lifecycle management','Workspace Management','Connections','View Connections','', NOW(), uuid_nil())",X,TRUE
Configuration Management,Pattern Support: Istio,VirtualService,,Platform Engineer,,Free,Adapter,,,,,,,,,,,,,,,9a84a5d0-0a16-11ee-be56-0242ac120002,,,TRUE
Configuration Management,Pattern Support: Istio,DestinationRule,,Platform Engineer,,Free,Adapter,,,,,,,,,,,,,,,12c5dbca-cdb4-4554-8a71-8c67c118071d,,,TRUE
Configuration Management,Pattern Support: Istio,mTLS (PeerAuthentication),,Platform Engineer,,Free,Adapter,,,,,,,,,,,,,,,2e66a6b3-7ed5-4010-b1d2-f4d7035f0991,,,TRUE
Configuration Management,Pattern Support: Istio,Automatic Sidecar Injection on a Namespace,,Platform Engineer,,Free,Adapter,,,,,,,,,,,,,,,21bd0f2b-0ab6-4aac-a1aa-e4a02eb66b3c,,,TRUE
Configuration Management,Pattern Support: Istio,Sidecars,,Platform Engineer,,Free,Adapter,,,,,,,,,,,,,,,34b68c99-8ef9-4542-8c34-bf7587bfa1b0,,,TRUE